ticker,company_name,gics_sector,gics_sub_industry,market_cap_usd
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,78777584768.33414
SHW,Sherwin-Williams,Materials,Specialty Chemicals,78430127478.0
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,77777369680.66406
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,77246898284.91211
CRH,CRH plc,Materials,Construction Materials,77143724443.01447
SPG,Simon Property Group,Real Estate,Retail REITs,77057367420.02417
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,76621642918.48907
CIEN,Ciena,Information Technology,Communications Equipment,75689160881.93097
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,75416115102.53911
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,75212680699.19241
CI,Cigna,Health Care,Health Care Services,74826482585.63232
NXPI,NXP Semiconductors,Information Technology,Semiconductors,74539558898.42212
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,74437710720.42508
AEP,American Electric Power,Utilities,Electric Utilities,74419278037.38892
MMM,3M,Industrials,Industrial Conglomerates,74323334692.5
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,74017136139.0293
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,73820602952.531
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,73626454351.80664
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,73536192033.75732
ECL,Ecolab,Materials,Specialty Chemicals,73291794791.72461
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",72531044468.22705
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,72490404722.2337
MSI,Motorola Solutions,Information Technology,Communications Equipment,72448153020.47366
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,72373579159.35825
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",71838787824.85254
NSC,Norfolk Southern,Industrials,Rail Transportation,70949243545.087
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,70640742152.64526
DLR,Digital Realty,Real Estate,Data Center REITs,70029045735.16846
CL,Colgate-Palmolive,Consumer Staples,Household Products,70008866816.80179
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,68571791061.43806
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,68319168798.31982
CTAS,Cintas,Industrials,Diversified Support Services,67858776497.7838
LITE,Lumentum,Information Technology,Communications Equipment,67825001477.05078
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,67607541730.06875
APD,Air Products,Materials,Industrial Gases,67035045959.34131
AON,Aon plc,Financials,Insurance Brokers,66530302695.809326
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,66331205796.36801
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",65751386524.85429
FIX,Comfort Systems USA,Industrials,Construction & Engineering,65723630344.02734
TDG,TransDigm Group,Industrials,Aerospace & Defense,65195902047.85181
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,64797091110.53604
RSG,Republic Services,Industrials,Environmental & Facilities Services,63817990265.23242
TFC,Truist Financial,Financials,Diversified Banks,63452617850.2121
FTNT,Fortinet,Information Technology,Systems Software,63173086305.88944
SRE,Sempra,Utilities,Multi-Utilities,61850991880.23236
COHR,Coherent Corp.,Information Technology,Electronic Components,61775270234.0
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,61091306425.97887
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,60547943448.661316
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,60439194891.010895
O,Realty Income,Real Estate,Retail REITs,59499676236.06608
URI,United Rentals,Industrials,Trading Companies & Distributors,59465990077.54443
AZO,AutoZone,Consumer Discretionary,Automotive Retail,59370608810.546875
COR,Cencora,Health Care,Health Care Distributors,59137327328.0
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,58538776198.62282
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,58414379017.50946
LHX,L3Harris,Industrials,Aerospace & Defense,58379247885.226685
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,58222423168.585945
AFL,Aflac,Financials,Life & Health Insurance,57628624997.787476
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,56929768891.261536
D,Dominion Energy,Utilities,Multi-Utilities,56201002797.905655
CARR,Carrier Global,Industrials,Building Products,56163850484.517265
ALL,Allstate,Financials,Property & Casualty Insurance,55754798285.9964
CVNA,Carvana,Consumer Discretionary,Automotive Retail,54810388094.57547
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,54657943187.32767
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,54364167139.59656
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,54279172162.291275
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,54078759721.99841
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,53472199776.82495
ETR,Entergy,Utilities,Electric Utilities,53305388049.81926
PSA,Public Storage,Real Estate,Self-Storage REITs,52935818166.50757
AME,Ametek,Industrials,Electrical Components & Equipment,52826706921.69913
VST,Vistra Corp.,Utilities,Electric Utilities,52569933648.49182
MET,MetLife,Financials,Life & Health Insurance,51763204263.2136
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,51645185500.770645
FAST,Fastenal,Industrials,Trading Companies & Distributors,51558254414.333755
ADSK,Autodesk,Information Technology,Application Software,51557851287.8418
XEL,Xcel Energy,Utilities,Multi-Utilities,51543315040.81511
NUE,Nucor,Materials,Steel,51477363440.77313
MCHP,Microchip Technology,Information Technology,Semiconductors,50839674627.68564
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,50573771943.71353
COIN,Coinbase,Financials,Financial Exchanges & Data,50504376071.25
DDOG,Datadog,Information Technology,Application Software,50020560163.690216
EW,Edwards Lifesciences,Health Care,Health Care Equipment,48417973313.55218
ZTS,Zoetis,Health Care,Pharmaceuticals,48190100805.31784
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,47651657719.71194
EXC,Exelon,Utilities,Electric Utilities,47577641731.5
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,46752201105.38974
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,46207079864.50195
CAH,Cardinal Health,Health Care,Health Care Distributors,45943100256.46948
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,45808652148.49475
FITB,Fifth Third Bancorp,Financials,Regional Banks,45680654166.43524
PYPL,PayPal,Financials,Transaction & Payment Processing Services,45379553861.725815
DAL,Delta Air Lines,Industrials,Passenger Airlines,45319471778.68637
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,45183456650.65155
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,44956014893.956665
YUM,Yum! Brands,Consumer Discretionary,Restaurants,43775475555.51956
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,42896076137.53839
KR,Kroger,Consumer Staples,Food Retail,42888185516.53739
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,42825640773.62402
VTR,Ventas,Real Estate,Health Care REITs,42792657386.420525
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,42774009157.45331
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,42531269146.15718
BDX,Becton Dickinson,Health Care,Health Care Equipment,42473714817.00134
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,42392430695.41142
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,42093819219.9707
STT,State Street Corporation,Financials,Asset Management & Custody Banks,42068589016.0
AIG,American International Group,Financials,Multi-line Insurance,41976531211.09009
CBRE,CBRE Group,Real Estate,Real Estate Services,41524318353.105774
ED,Consolidated Edison,Utilities,Multi-Utilities,40706862683.50731
ON,ON Semiconductor,Information Technology,Semiconductors,40524513093.40411
EME,Emcor,Industrials,Construction & Engineering,40235174284.5
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,40007191938.04852
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,40003453533.63574
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,39578675218.9949
ARES,Ares Management,Financials,Asset Management & Custody Banks,39340527849.0
CCI,Crown Castle,Real Estate,Telecom Tower REITs,38950150236.14122
VMC,Vulcan Materials Company,Materials,Construction Materials,38578723358.55316
WEC,WEC Energy Group,Utilities,Electric Utilities,38256675657.4931
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",37908220917.80627
IRM,Iron Mountain,Real Estate,Other Specialized REITs,37836331460.49664
HIG,Hartford (The),Financials,Property & Casualty Insurance,37229705994.9353
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,37208501340.75
MLM,Martin Marietta Materials,Materials,Construction Materials,37061149172.045166
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,36958667627.74356
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",36927820911.46448
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,36870694548.94394
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,36690539384.55963
PCG,PG&E Corporation,Utilities,Multi-Utilities,36226598455.76413
JBL,Jabil,Information Technology,Electronic Manufacturing Services,36131483085.12738
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,36113219970.50171
